otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
otu884,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Unclassified.Phocaeicola,Phocaeicola,Phocaeicola salanitronis
otu885,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Candidatus Desulforudis,Unclassified.Candidatus Desulforudis
otu886,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. SCC 2136
otu887,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. RAC01
otu888,Bacteria,Bacteroidetes,Unclassified.Bacteroidetes bacterium UKL13-3,Unclassified.Bacteroidetes bacterium UKL13-3,Unclassified.Bacteroidetes bacterium UKL13-3,Unclassified.Bacteroidetes bacterium UKL13-3,Bacteroidetes bacterium UKL13-3
otu889,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified.Rhodococcus phage REQ1,Rhodococcus phage REQ1
otu890,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. LKL04
otu891,Bacteria,Unclassified.uncultured bacterium H2_7,Unclassified.uncultured bacterium H2_7,Unclassified.uncultured bacterium H2_7,Unclassified.uncultured bacterium H2_7,Unclassified.uncultured bacterium H2_7,Unclassified.uncultured bacterium H2_7
otu892,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Unclassified.Flammeovirgaceae bacterium 311,Unclassified.Flammeovirgaceae bacterium 311
otu893,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. ZXY-2
otu894,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,Demequina sp. JK4
otu895,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermothelomyces,Unclassified.Thermothelomyces
otu896,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Unclassified.Oceanimonas
otu897,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,Unclassified.Xanthobacter
otu898,Bacteria,Unclassified.bacterium enrichment culture clone FXVII-Cel5B,Unclassified.bacterium enrichment culture clone FXVII-Cel5B,Unclassified.bacterium enrichment culture clone FXVII-Cel5B,Unclassified.bacterium enrichment culture clone FXVII-Cel5B,Unclassified.bacterium enrichment culture clone FXVII-Cel5B,Unclassified.bacterium enrichment culture clone FXVII-Cel5B
otu899,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thermoviolaceus
otu900,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. GR 6-02
otu901,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Anaerobranca,Unclassified.Anaerobranca
otu902,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus oleophilus
otu903,Bacteria,Unclassified.uncultured bacterium Ad_010_C07,Unclassified.uncultured bacterium Ad_010_C07,Unclassified.uncultured bacterium Ad_010_C07,Unclassified.uncultured bacterium Ad_010_C07,Unclassified.uncultured bacterium Ad_010_C07,Unclassified.uncultured bacterium Ad_010_C07
otu904,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus glycinifermentans
otu905,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Unclassified.Streptococcus
otu906,Bacteria,Cyanobacteria,Unclassified.Nostocales,Nostocales,Scytonemataceae,Scytonema,Unclassified.Scytonema
otu907,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Unclassified.Helicoverpa
otu908,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis
otu909,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,Kibdelosporangium phytohabitans
otu910,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Unclassified.Haliscomenobacter
otu911,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus borealis
otu912,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,Hungateiclostridium thermocellum
otu913,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
otu914,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Unclassified.Plautia stali symbiont,Unclassified.Plautia stali symbiont
otu915,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia,Simiduia agarivorans
otu916,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,Herbinix luporum
otu917,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium falsenii
otu918,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema pretiosum
otu919,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus phasianinus
otu920,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Lolium,Lolium perenne
otu921,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus mucosae
otu922,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum seropedicae
otu923,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified.Ruminococcaceae bacterium CPB6,Unclassified.Ruminococcaceae bacterium CPB6
otu924,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saccharobutylicum
otu925,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Unclassified.Selenomonas
