otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
otu3204,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus macrosporus
otu3205,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
otu3206,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas flavigena
otu3207,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Renibacterium,Renibacterium salmoninarum
otu3208,Bacteria,Cyanobacteria,Unclassified.Synechococcales,Synechococcales,Acaryochloridaceae,Acaryochloris,Unclassified.Acaryochloris
otu3209,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium arcticum
otu3210,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum
otu3211,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Woeseiaceae,Woeseia,Unclassified.Woeseia
otu3212,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus aquimaris
otu3213,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,Unclassified.Caldimicrobium
otu3214,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Unclassified.Neurospora
otu3215,Bacteria,Unclassified.uncultured bacterium esnapd2,Unclassified.uncultured bacterium esnapd2,Unclassified.uncultured bacterium esnapd2,Unclassified.uncultured bacterium esnapd2,Unclassified.uncultured bacterium esnapd2,Unclassified.uncultured bacterium esnapd2
otu3216,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Unclassified.Sorangium
otu3217,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Unclassified.Plesiomonas,Plesiomonas,Plesiomonas shigelloides
otu3218,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,Unclassified.Castellaniella
otu3219,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis sp. SC2
otu3220,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Unclassified.Plesiomonas,Plesiomonas,Unclassified.Plesiomonas
otu3221,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter phenanthrenivorans
otu3222,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces globisporus
otu3223,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea oxalativorans
